name,category,type,price_level,description,purchase_url
猫咪指甲锉,护理用品,护理用品,budget,修剪指甲后打磨，防止抓伤 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪怎么剪指甲。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪剃毛器,护理用品,护理用品,mid,打结严重时剃毛 适用：长毛猫。 品牌参考：各大宠物用品品牌。 相关问题：长毛猫打结怎么办。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪围嘴,护理用品,护理用品,budget,吃东西时保持清洁 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪吃东西脏怎么办。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪手套-洗澡用,护理用品,洗澡用品,budget,洗澡时固定猫咪 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪怎么洗澡。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪吸水毛巾,护理用品,洗澡用品,budget,快速吸干毛发 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪怎么洗澡。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪烘干箱,护理用品,洗澡用品,premium,快速烘干，方便省力 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪怎么洗澡。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪太空舱,玩具,玩具,mid,观察和休息双功能 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪玩具推荐。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪吊床-窗户,护理用品,猫窝,mid,悬挂在窗户，晒太阳休息 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪喜欢什么样的窝。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪跳台,玩具,玩具,mid,攀爬运动设施 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪怎么消耗精力。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪围栏,护理用品,防护用品,mid,限制活动区域，保护猫咪 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪活动区域划分。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪门,护理用品,防护用品,mid,让猫咪自由进出房间 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪活动区域划分。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪自动门,护理用品,猫砂盆配件,mid,防止其他宠物进入猫砂盆 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：多猫家庭管理。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪摄像头,护理用品,监控设备,mid,远程观察猫咪行为 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：上班不在家猫咪怎么办。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪智能喂食器,护理用品,喂食设备,mid,定时定量，APP控制 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪应该多久喂一次。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪智能饮水机,护理用品,饮水设备,mid,APP控制，监测饮水量 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪不喝水怎么办。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪智能猫砂盆,猫砂,猫砂盆,premium,自动清理，减少人力 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫砂盆怎么选择。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪除臭喷雾,护理用品,清洁用品,mid,快速消除异味 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫砂盆除臭/环境除臭。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪空气净化器,护理用品,清洁用品,premium,净化空气，减少异味和毛絮 适用：全阶段。 品牌参考：各大品牌。 相关问题：家庭环境改善。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪吸尘器,护理用品,清洁用品,premium,强力清洁猫毛 适用：全阶段。 品牌参考：各大品牌。 相关问题：家里猫毛太多怎么办。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪美容桌,护理用品,护理用品,premium,专业美容护理用 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪美容护理。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
猫咪推车,护理用品,出行用品,mid,外出推车，方便携带 适用：全阶段。 品牌参考：各大宠物用品品牌。 相关问题：猫咪出门怎么办。 渠道：淘宝/京东。（条目来自批量导入，链接请自行检索。）,
